"","resolved_common_name","merged_common_names","merged_scientific_names"
"1015256","katinga","katuk; katunga; katinga","sauropus androgynus; santalum acuminatum; merrillia caloxylon"
"1015260","","","erysimum transilvanicum"
"1015266","","","xenorhabdus naematophilus; xenorhabdus nematophilus; xenorhabdus nematophila"
"1015284","","","annona aff. spraguei"
"1015289","","","alternaria raphani"
"1015290","","","zanthoxylum dimorphophyllum var. spinifolium"
"1015301","","","trichoderma asperellum"
"1015315","","","knema austrosiamensis"
"1015316","","","iryanthera elliptica"
"1015317","","","kitasatospora kifunensis"
"1015318","","","aglaonema simplex"
"1015319","","","plantago alpina"
"1015335","","","albatrellus caeruleoporus"
"1015345","","","rosa platyacantha"
"1015347","","","polygonatum zanlanscianense"
"1015349","","","achyrocline albicans"
"1015408","","","sargassum fulvellum"
"1015409","","","borrelia burgdorferi"
"1015411","","","trattinnickia burserifolia"
"1015893","","","musanga cecropioides"
"1015915","","","saccogyna viticulosa"
"1015916","","","scapania undulata"
"1015925","","","strychnos lucida"
"1015999","","","viguiera sylvatica"
"1017448","","","tamarix tetragyna"
"1017454","","","streptomyces costae"
"1017487","","","zaluzania"
"1017494","","","maesa lanceolata"
"1017575","","","ilex chinensis"
"1017585","","","vancouveria hexandra"
"1017590","","","ophryosporus floribundus"
"1017597","barberries","barberries","berberis; berberis densiflora; berberis turcomanica; berberis oblonga; berberis brandisiana; berberis baluchistanica; berberis coletioides"
"1017599","chinese flowering ash","chinese flowering ash","fraxinus sieboldiana"
"1018151","","","solanum chrysotrichum"
"1018152","","","vitex polygama"
"1018159","glory bushes","glory bushes","tibouchina; tibouchina grandiflora"
"1018161","","","smilax glycyphylla"
"1018167","","","chrysanthemoides monilifera"
"1018168","leopard's bane","leopard's bane","doronicum"
"1018221","","","citharexylum quadrangular"
"1018224","","","morettia philaena"
"1018226","","","eclipta alba"
"1018297","canterbury bells","canterbury bells","campanula medium"
"1018298","","","baccharis minutiflora"
"1018308","","","planchonia grandis"
"1018319","","","dioscorea septemloba"
"1018320","","","cheilocostus speciosus"
"1018834","","","leptasterias alaskensis"
"1018853","","","libocedrus yateensis"
"1018854","palwal","palwal","trichosanthes dioica"
"1018855","pointed gourd","pointed gourd","trichosanthes dioica"
"1018856","","","psiadia dentata"
"1018857","","","ozothamnus lycopodioides"
"1018861","","","tecoma grandiflora"
"1018863","","","guatteria ouregou"
"1018864","","","cremanthodium ellisii; cremanthodium allisii"
"1018873","","","mallotus milliettii"
"1018878","","","eupatorium betonicaeforme"
"1018880","","","centaurea salonitana"
"1018884","","","cusparia trifoliata"
"1018885","","","galipea bracteata"
"1018888","","","agarista mexicana"
"1018903","","","erythroxylum vacciniifolium"
"1018904","","","stachys officinalis"
"1018905","scouring rushes","scouring rushes","equisetum; equisetum silvaticum; equisetum debile; equisetum telmateja"
"1018908","","","meliosma lanceolata"
"1018914","","","calceolaria hypericina"
"1018915","","","cassinopsis madagascariensis"
"1018931","","","eucomis bicolor"
"1018932","","","bellevalia romana"
"1018933","","","patrinia rupestris"
"1018938","","","hedera pastuchovii; hedera pastuchovi"
"1018944","","","strychnos vanprukii"
"1018945","","","lysimachia foenum graecum"
"1018950","","","othonna lobata"
"1018951","bottle gentian","bottle gentian","gentiana andrewsii"
"1018957","heather flower","heather flower","calluna vulgaris"
"1018960","","","connarus ferrugineus"
"1018962","","","melicope elleryana"
"1018967","","","asplenium bulbiferum"
"1018975","","","erythroxylum rotundifolium"
"1018979","","","polygala reinii; polygala reineii"
"1018983","","","asterina amurensis"
"1018984","","","asterina pectinifera"
"1018986","","","madhuca indica"
"1019050","","","daphniphyllum oldhami; daphniphyllum oldhamii"
"1019547","","","centratherum anthelminticum"
"1019549","","","pulsatilla patens var. multifida"
"1019554","","","streptomyces nitrosporeus"
"1019559","","","alibertia sessilis"
"1019570","","","hypericum scabrum"
"1019571","","","aster praealtus"
"1019582","","","lantana fucata"
"1019588","","","friesodielsia obovata"
"1019589","","","trillium kamtschaticense; trillium kamtschatcense"
"1019592","","","iryanthera sagotiana; iryanthera sagotina"
"1019605","","","genista ephedroides"
"1019622","","","khaya senegalensis"
"1019623","senegal mahogany","senegal mahogany","khaya grandifoliola"
"1019631","","","hedychium yunnanense"
"1019643","","","cucumaria japonica"
"1019654","","","dennstaedtia scandens"
"1019668","","","clematis hexapetala"
"1019669","","","aglaia grandis"
"1019679","","","erysimum gypsaceum"
"1020242","","","celastrus angulatus"
"1020321","","","operophtera"
"1020322","pigweed caterpillar","pigweed caterpillar","spodoptera exigua"
"1020325","","","phlomis umbrosa"
"1020326","","","myrsine australis"
"1020327","","","lysimachia sikokiana"
"1020335","","","elaeocarpus mastersii"
"1020336","","","solanum torrum"
"1020344","","","inula cappa"
"1020350","","","mycena galericulata"
"1020359","","","xylocarpus granatum"
"1020367","","","phyllosticta sp."
"1020370","elephant ear sponge","elephant ear sponge","spongia agaricina"
"1020379","","","pulicaria arabica"
"1020382","","","cinnamomum subavenium"
"1020385","","","adenophora axilliflora"
"1020454","","","baseonema acuminatum; baseonema acuminata"
"1020456","","","alangium salviifolium"
"1020463","","","polygonum bellardi"
"1020467","","","glochidion eriocarpum"
"1020477","","","viburnum chinshanense"
"1020478","","","streptomyces olivoreticuli"
"1020479","","","streptomyces rimofaciens"
"1020978","","","aegilops ovata"
"1020982","","","actinodaphne longifolia"
"1020986","","","aristolochia gehrtii"
"1021104","","","megascolides cameroni"
"1021110","","","chlorophytum borivilianum"
"1021115","","","hibiscus taiwanensis"
"1021127","","","myristica argentea"
"1021128","","","anamirta cocculus"
"1021131","","","protea neriifolia"
"1021206","","","eisenia fetida"
"1021764","","","spilarctia obliqua"
"1021784","","","acanthophyllum squarrosum"
"1021801","","","sorbus decora"
"1021802","red chokeberry","red chokeberry","aronia arbutifolia"
"1021803","guang x shi nan","guang x shi nan","photinia glabra"
"1021808","","","pteris bella"
"1021810","","","pteris dispar"
"1021870","","","iresine herbstii"
"1021917","","","naravelia zeylanica"
"1021943","","","hammada scoparia"
"1021946","","","polyporus versicolor"
"1021947","","","piper capense"
"1021955","","","hasseltia floribunda"
"1021980","","","paliurus hemsleyanus"
"1021982","","","asparagus curillus"
"1021984","","","erythrina addisoniae"
"1021989","","","vaccinium padifolium"
"1021993","","","echinosophora koreensis"
"1021995","","","halocnemum strobilaceum"
"1022000","","","uvaria kweichowensis"
"1022008","","","maytenus horrida"
"1022014","jie xiang","jie xiang","edgeworthia chrysantha"
"1022015","","","bidens campylotheca"
"1022019","","","gnetum venosum"
"1022021","","","scutia buxifolia"
"1022028","","","saccharomonospora viridis"
"1022039","","","geranium niveum"
"1022040","","","pulicaria undulata"
"1022042","","","polanisia dodecandra"
"1022048","","","sinomenium acutum"
"1022064","","","mortierella sp."
"1022067","","","botrytis sp."
"1022088","","","astragalus trigonus"
"1022089","","","aspergillus amstelodami"
"1022103","","","achillea ligustica"
"1022108","","","gaultheria yunnanensis"
"1022109","","","alnus glutinosa"
"1022114","","","achillea pseudoaleppica"
"1022118","","","duchesnea indica"
"1022124","","","pegolettia senegalensis"
"1022126","","","chloranthus serratus"
"1022127","","","phytolacca polyandra"
"1022135","","","centaurea furfuracea"
"1022140","","","buddleja asiatica"
"1022141","","","pluchea lanceolata"
"1022142","cheeseberry","cheeseberry","rubus ellipticus"
"1022145","","","solanum elaeagnifolium"
"1022148","","","oryctes monoceros"
"1022150","","","cynanchum bungei"
"1022153","","","homalomena occulta"
"1022154","","","ardisia macrocarpa"
"1022160","","","planchonia careya"
"1022162","","","meretrix petechialis"
"1022164","","","cicer judaicum"
"1022166","","","balsamorhiza sagittata"
"1022171","","","pimpinella diversifolia"
"1022172","","","pimpinella villosa"
"1022174","gomo ju","gomo ju","viburnum suspensum"
"1022179","","","littorina sp."
"1022180","","","persicobacter sp."
"1022185","","","wenyingzhuangia fucanilytica"
"1022187","","","isoptericola halotolerans"
"1022202","","","calotis dentex"
"1022210","e zhang cao","e zhang cao","anemone flaccida"
"1022214","","","oreopanax reticulatum"
"1022215","","","mammea longifolia"
"1022232","","","solidago multiradiata"
"1022256","","","lasioglossum zephyrum"
"1022258","","","erythroxylum pervillei"
"1022273","","","helianthus petiolaris"
"1022831","","","blutaparon portulacoides"
"1022841","","","bupleurum acutifolium"
"1022843","","","maesa ramentacea"
"1022865","","","cnidium"
"1022866","","","ligusticum daucoides"
"1022867","","","triplaris cumingiana"
"1023370","","","achillea alexandri regis"
"1023374","","","pueraria"
"1023381","fin whale","fin whale","balaenoptera physalus"
"1023382","","","phyllanthus polyphyllus"
"1023385","","","litsea euosma"
"1023386","","","montanoa hibiscifolia"
"1023387","","","haplopappus parvifolius"
"1023390","desert gold","desert gold","geraea canescens"
"1023396","","","conyza filaginoides"
"1023430","","","fibraurea recisa"
"1023435","","","thevetia neriifolia"
"1023438","desert rose","desert rose","adenium obesum"
"1023444","","","quercus variabilis"
"1023455","","","cnidium silaifolium"
"1023456","","","diplostephium floribundum"
"1023458","","","trichogonia santosii"
"1023460","","","prismatomeris malayana"
"1023469","","","brachylaena ramiflora"
"1023470","","","resseliella theobaldi"
"1023471","midge","midge","chironomus thummi"
"1023472","swede midge","swede midge","contarinia nasturtii"
"1023474","common horsetail","common horsetail","equisetum arvense"
"1023475","","","lantana radula"
"1023488","","","helenium amarum"
"1023490","","","praxelis clematidea"
"1023511","","","aegiceras majus"
"1023512","","","pomatosace filicula"
"1023513","millipede","millipede; millipedes","rhinocricus insulatus; diplopoda; parafontaria laminata armigera; luminodesmus sequoiae"
"1023514","","","parafontaria laminata"
"1023517","","","isodon enanderianus"
"1023518","","","erysimum diffusum"
"1023524","","","penicillium wortmanni"
"1023529","","","smallanthus macroscyphus"
"1023532","","","adansonia peuce"
"1023662","","","erythrina lanata"
"1023726","","","euryale ferox"
"1023760","","","allium karataviense"
"1023781","","","phlomis lunariifolia"
"1023782","","","coronilla emerus"
"1023784","","","tanacetum longifolium"
"1023785","","","eclipta prostrata"
"1023786","","","allium elburzense"
"1023844","","","gypsophila bermejoi"
"1023848","","","sapindus delavayi; sapindus delavayl"
"1023854","florida rosemary","florida rosemary","ceratiola ericoides"
"1023855","indigo","indigo","indigofera; indigofera hetrantha; indigofera endecaphylla"
"1023862","","","mallotus roxburghianus"
"1023863","","","bazzania tridens"
"1023869","","","gellius cymiformis"
"1023940","","","gutierrezia resinosa"
"1023942","sticky calycadenia","sticky calycadenia","calycadenia multiglandulosa"
"1023943","","","calycadenia ciliosa"
"1023952","","","dalbergia vacciniifolia"
"1023966","","","valeriana alliariifolia"
"1023967","","","valeriana sorbifolia"
"1023968","evening primroses","evening primrose; evening primroses","oenothera biennis; oenothera erythrosepala; oenothera cheiranthifolia"
"1023971","butterfly bush","butterfly bush","buddleja davidii"
"1023972","","","scolopia chinensis"
"1023977","","","pericopsis elata"
"1024028","","","acidomonas methanolica"
"1024044","","","nitrosococcus oceani"
"1024054","","","myristica crassa"
"1024057","","","lactuca laciniata"
"1024059","","","acacia inundata"
"1024061","forest siris","forest siris","albizia procera"
"1024062","","","dioscorea floribunda"
"1024063","","","carduus pycnocephalus"
"1024074","","","polypodium formosanum"
"1024076","","","dioscorea opposita"
"1024081","","","tanacetum densum"
"1024082","","","gnetum hainanense"
"1024089","","","monodora angolensis"
"1024162","","","himantoglossum"
"1024164","","","rhizoctonia repens"
"1024228","","","stevia potrerensis"
"1024236","","","pterocarya tonkinensis"
"1024243","leadwort leaved tobacco","leadwort leaved tobacco","nicotiana plumbaginifolia"
"1024244","","","ammopiptanthus mongolicus"
"1024256","","","salvia sahendica"
"1024260","","","radix pareirae"
"1024261","","","cleidion brevipetiolatum"
"1024265","","","caulerpa racemosa"
"1024266","","","costus spiralis"
"1024267","","","bauhinia variegata"
"1024285","","","psacalium megaphyllum"
"1024443","","","petunia axillaris"
"1024791","","","silphium albiflorum"
"1024802","","","sterculia colorata"
"1024809","","","achyrocline alata"
"1024812","","","hydnellum caeruleum"
"1024813","","","anthracophyllum"
"1024815","","","actinidia kolomikta"
"1024824","","","hyptis dilatata"
"1024825","","","xanthoria parietina"
"1024853","","","chromolaena chasleae; chromolaena chaslea"
"1024856","","","furcraea selloa"
"1024865","","","cynara"
"1024908","","","ornithogalum magnum"
"1024909","","","mallotus paniculatus"
"1024913","","","acridocarpus vivy"
"1024914","","","bartlettina karwinskiana"
"1024928","","","yeatesia viridiflora"
"1024929","","","glycyrrhiza macedonica"
